"idx","full_path","rel_path","top_dir","parent_rel","file_name","stem","ext","size","mtime_utc","sha256","reason_flags","keep_score"
"35","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\0740.A.600深灰\J11BS.0740.A.600.935","J11B直管\0740.A.600深灰\J11BS.0740.A.600.935","J11B直管","J11B直管\0740.A.600深灰","J11BS.0740.A.600.935","J11BS.0740.A.600",".935","9045","2019-01-16T05:36:24.0000000Z","C8298A0FD801FBA8931AAE5CF4D0C3A81975E35DB8FC5FB29FA8F4B585AA6345","","40"
"36","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\0740.A.600深灰\J11BS.0740.A.600.937","J11B直管\0740.A.600深灰\J11BS.0740.A.600.937","J11B直管","J11B直管\0740.A.600深灰","J11BS.0740.A.600.937","J11BS.0740.A.600",".937","9045","2019-01-16T05:36:36.0000000Z","FA92487A38A024B708C1F8B52E1DA9A5021943DFC6B86E6CA968861FA98D7EE4","","40"
"37","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\0740.A.600深灰\J11BS.0740.A.600.939","J11B直管\0740.A.600深灰\J11BS.0740.A.600.939","J11B直管","J11B直管\0740.A.600深灰","J11BS.0740.A.600.939","J11BS.0740.A.600",".939","9045","2019-01-16T05:36:50.0000000Z","29D574616FE57FA4147C5F568FEFC7B540A1901CBD6258A82662B1AB8B54B287","","40"
"38","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\0740.A.600深灰\J11BS.0740.A.600.941","J11B直管\0740.A.600深灰\J11BS.0740.A.600.941","J11B直管","J11B直管\0740.A.600深灰","J11BS.0740.A.600.941","J11BS.0740.A.600",".941","9045","2019-01-16T05:37:02.0000000Z","E692CC7DCCB86789AD1CFE26478DCC6F9FF6814AC3BC2674E37B5253160690C6","","40"
"39","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\0740.A.600深灰\J11BS.0740.A.600.943","J11B直管\0740.A.600深灰\J11BS.0740.A.600.943","J11B直管","J11B直管\0740.A.600深灰","J11BS.0740.A.600.943","J11BS.0740.A.600",".943","9045","2019-01-16T05:37:20.0000000Z","FEF5894CAB5A2ED6CDCC5567390EC52B084D8B8E3F8247C8A26E8A3200473406","","40"
"40","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\0740.A.600深灰\J11BS.0740.A.600.945","J11B直管\0740.A.600深灰\J11BS.0740.A.600.945","J11B直管","J11B直管\0740.A.600深灰","J11BS.0740.A.600.945","J11BS.0740.A.600",".945","9045","2019-01-16T05:37:34.0000000Z","C3BABA4C643B8905F1886C1BFF7E71D5EA7A61858F843C5577DA295899EF5AD1","","40"
"41","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\0740.A.600深灰\J11BS.0740.A.600.947","J11B直管\0740.A.600深灰\J11BS.0740.A.600.947","J11B直管","J11B直管\0740.A.600深灰","J11BS.0740.A.600.947","J11BS.0740.A.600",".947","9045","2019-01-16T05:37:44.0000000Z","CEBCEB34002E657C09D4AEBB27B3C69CA977B07D9917D9F0583CC83BABB890FF","","40"
"42","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\0740.A.600深灰\J11BS.0740.A.600.949","J11B直管\0740.A.600深灰\J11BS.0740.A.600.949","J11B直管","J11B直管\0740.A.600深灰","J11BS.0740.A.600.949","J11BS.0740.A.600",".949","9045","2019-01-16T05:37:54.0000000Z","3AF36E689207827288B21B4CC34A19A68A933D1787A7ED156631CD77D0DB530D","","40"
"43","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\0740.A.600深灰\J11BS.0740.A.600.951","J11B直管\0740.A.600深灰\J11BS.0740.A.600.951","J11B直管","J11B直管\0740.A.600深灰","J11BS.0740.A.600.951","J11BS.0740.A.600",".951","9045","2019-01-16T05:38:10.0000000Z","E9D3564E937194E68E90CBA314623CE34CC32C028ABE491BA48B97497FAC6D12","","40"
"44","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\J11B直管\0740.A.600深灰\J11BS.0740.A.600.953","J11B直管\0740.A.600深灰\J11BS.0740.A.600.953","J11B直管","J11B直管\0740.A.600深灰","J11BS.0740.A.600.953","J11BS.0740.A.600",".953","9045","2019-01-16T05:38:26.0000000Z","75D74582CFB1B4C9E90E2FBCB93BD50CD9F69B81D4384AC224D35D3EEB0099D9","","40"
