"file_name","file_count","unique_hash_count","same_content_all","sample_paths"
"78","14","8","NO","VJMsg\30 11\30 11.5314\045\78 | VJMsg\30 11\30 11.5314\210\78 | VJMsg\30 11\30 11.5324\210\78"
"85","13","7","NO","J11B直管\J11BS.0740.A\85 | VJMsg\30 11\30 11.5314\710\85 | VJMsg\30 11\30 11.5324\900\85"
"930","13","5","NO","VJMsg\30 11\30 11.5314\040\930 | VJMsg\30 11\30 11.5314\700\930 | VJMsg\J11B钢管\5314.B.035\035\720\930"
"911","13","8","NO","VJMsg\30 11\30 11.5314\040\911 | VJMsg\30 11\30 11.5324\700\911 | VJMsg\30 11\30 11.5324\S30.5324\911"
"74","13","7","NO","VJMsg\30 11\30 11.5314\035\74 | VJMsg\30 11\30 11.5314\330\74 | VJMsg\30 11\30 11.5324\210\74"
"993","13","6","NO","VJMsg\30 11\30 11.5324\040\993 | VJMsg\30 11\30 11.5324\610655\993 | VJMsg\J11B钢管\5314.B.035\035\810\993"
"52","13","7","NO","VJMsg\30 11\30 11.5314\210\52 | VJMsg\30 11\30 11.5314\300\52 | VJMsg\30 11\30 11.5324\045\52"
"67","13","8","NO","VJMsg\30 11\30 11.5314\045\67 | VJMsg\30 11\30 11.5314\330\67 | VJMsg\30 11\30 11.5314\815\67"
"42","13","6","NO","VJMsg\30 11\30 11.5314\045\42 | VJMsg\30 11\30 11.5314\210\42 | VJMsg\30 11\30 11.5314\215\42"
"91","12","7","NO","J11B直管\J11BS.0740.A\91 | VJMsg\30 11\30 11.5314\035\91 | VJMsg\30 11\30 11.5314\815\91"
"79","12","8","NO","J11B直管\J11BS.0740.A\新建文件夹 (2)\79 | VJMsg\30 11\30 11.5314\210\79 | VJMsg\30 11\30 11.5324\210\79"
"77","12","6","NO","J11B直管\J11BS.0740.A\77 | VJMsg\30 11\30 11.5324\325\77 | VJMsg\J11BS.7420.A\J11BS.0740.A\77"
"901","11","7","NO","VJMsg\30 11\30 11.5314\445\901 | VJMsg\30 11\30 11.5314\600\901 | VJMsg\30 11\30 11.5324\600\901"
"95","11","6","NO","J11B直管\J11BS.0740.A\95 | VJMsg\30 11\30 11.5314\710\95 | VJMsg\30 11\30 11.5324\040\95"
"967","11","5","NO","VJMsg\30 11\30 11.5314\720\967 | VJMsg\30 11\30 11.5324\900\967 | VJMsg\J11B钢管\5314.B.035\035\655\967"
"94","11","6","NO","VJMsg\30 11\30 11.5314\710\94 | VJMsg\30 11\30 11.5314\815\94 | VJMsg\J11B钢管\5314.B.035\035\330\94"
"931","11","6","NO","VJMsg\30 11\30 11.5314\700\931 | VJMsg\30 11\30 11.5324\700\931 | VJMsg\J11B钢管\5314.B.035\035\931"
"902","11","6","NO","VJMsg\30 11\30 11.5314\445\902 | VJMsg\30 11\30 11.5324\700\902 | VJMsg\30 11\30 11.5324\900\902"
"86","10","6","NO","VJMsg\30 11\30 11.5314\045\86 | VJMsg\30 11\30 11.5314\710\86 | VJMsg\J11B钢管\5314.B.035\035\325\86"
"985","10","6","NO","VJMsg\30 11\30 11.5314\045\985 | VJMsg\30 11\30 11.5314\815\985 | VJMsg\30 11\30 11.5324\900\985"
"89","10","6","NO","J11B直管\J11BS.0740.A\新建文件夹 (2)\89 | VJMsg\30 11\30 11.5314\045\89 | VJMsg\30 11\30 11.5314\815\89"
"90","10","5","NO","VJMsg\30 11\30 11.5314\815\90 | VJMsg\J11B钢管\5314.B.035\035\330\90 | VJMsg\J11B钢管\5314.B.035\035\710\90"
"916","10","6","NO","VJMsg\30 11\30 11.5314\700\916 | VJMsg\30 11\30 11.5324\500\916 | VJMsg\30 11\30 11.5324\600\916"
"J11B.5314.B.220.970","10","1","YES","VJMsg\J11B.5314.B.220.970 | VJMsg\J11B钢管\5314.B.035\035\410\220\J11B.5314.B.220.970 | VJMsg\J11B钢管\5314.B.035\035\445\410\220\J11B.5314.B.220.970"
"945","10","2","NO","VJMsg\30 11\30 11.5314\815\945 | VJMsg\J11B钢管\5314.B.035\035\220\945 | VJMsg\J11B钢管\5314.B.035\035\410\220\945"
"903","10","6","NO","VJMsg\30 11\30 11.5314\820\903 | VJMsg\30 11\30 11.5324\300\903 | VJMsg\30 11\30 11.5324\555\903"
"J11B.5314.B.220.905","9","1","YES","VJMsg\J11B.5314.B.220.905 | VJMsg\J11B钢管\5314.B.035\035\410\220\J11B.5314.B.220.905 | VJMsg\J11B钢管\5314.B.035\035\445\410\220\J11B.5314.B.220.905"
"88","9","6","NO","VJMsg\30 11\30 11.5314\045\88 | VJMsg\30 11\30 11.5314\710\88 | VJMsg\J11B钢管\5314.B.035\035\710\88"
"J11B.5314.B.220.938","9","2","NO","VJMsg\J11B.5314.B.220.938 | VJMsg\J11B钢管\5314.B.035\035\410\220\J11B.5314.B.220.938 | VJMsg\J11B钢管\5314.B.035\035\445\410\220\J11B.5314.B.220.938"
"J11B.5314.B.220.904","9","1","YES","VJMsg\J11B.5314.B.220.904 | VJMsg\J11B钢管\5314.B.035\035\410\220\J11B.5314.B.220.904 | VJMsg\J11B钢管\5314.B.035\035\445\410\220\J11B.5314.B.220.904"
"J11B.5314.B.220.962","9","1","YES","VJMsg\J11B.5314.B.220.962 | VJMsg\J11B钢管\5314.B.035\035\220\J11B.5314.B.220.962 | VJMsg\J11B钢管\5314.B.035\035\410\220\J11B.5314.B.220.962"
"J11B.5314.B.220.963","9","1","YES","VJMsg\J11B.5314.B.220.963 | VJMsg\J11B钢管\5314.B.035\035\410\220\J11B.5314.B.220.963 | VJMsg\J11B钢管\5314.B.035\035\445\410\220\J11B.5314.B.220.963"
"J11B.5314.B.220.939","9","1","YES","VJMsg\J11B.5314.B.220.939 | VJMsg\J11B钢管\5314.B.035\035\220\J11B.5314.B.220.939 | VJMsg\J11B钢管\5314.B.035\035\410\220\J11B.5314.B.220.939"
"983","9","5","NO","VJMsg\30 11\30 11.5314\045\983 | VJMsg\30 11\30 11.5314\815\983 | VJMsg\30 11\30 11.5324\900\983"
"J11B.5314.B.220.965","9","1","YES","VJMsg\J11B.5314.B.220.965 | VJMsg\J11B钢管\5314.B.035\035\410\220\J11B.5314.B.220.965 | VJMsg\J11B钢管\5314.B.035\035\445\410\220\J11B.5314.B.220.965"
"J11B.5314.B.220.960","9","1","YES","VJMsg\J11B.5314.B.220.960 | VJMsg\J11B钢管\5314.B.035\035\410\220\J11B.5314.B.220.960 | VJMsg\J11B钢管\5314.B.035\035\445\410\220\J11B.5314.B.220.960"
"J11B.5314.B.220.906","9","1","YES","VJMsg\J11B.5314.B.220.906 | VJMsg\J11B钢管\5314.B.035\035\410\220\J11B.5314.B.220.906 | VJMsg\J11B钢管\5314.B.035\035\445\410\220\J11B.5314.B.220.906"
"J11B.5314.B.220.927","9","1","YES","VJMsg\J11B.5314.B.220.927 | VJMsg\J11B钢管\5314.B.035\035\410\220\J11B.5314.B.220.927 | VJMsg\J11B钢管\5314.B.035\035\445\410\220\J11B.5314.B.220.927"
"J11B.5314.B.220.937","9","1","YES","VJMsg\J11B.5314.B.220.937 | VJMsg\J11B钢管\5314.B.035\035\410\220\J11B.5314.B.220.937 | VJMsg\J11B钢管\5314.B.035\035\445\410\220\J11B.5314.B.220.937"
"46","9","7","NO","VJMsg\30 11\30 11.5314\210\46 | VJMsg\30 11\30 11.5314\300\46 | VJMsg\30 11\30 11.5324\045\46"
"J11B.5314.B.220.902","9","1","YES","VJMsg\J11B.5314.B.220.902 | VJMsg\J11B钢管\5314.B.035\035\410\220\J11B.5314.B.220.902 | VJMsg\J11B钢管\5314.B.035\035\445\410\220\J11B.5314.B.220.902"
"82","9","7","NO","VJMsg\30 11\30 11.5314\035\82 | VJMsg\30 11\30 11.5314\210\82 | VJMsg\30 11\30 11.5314\710\82"
"J11B.5314.B.220.945","9","1","YES","VJMsg\J11B.5314.B.220.945 | VJMsg\J11B钢管\5314.B.035\035\220\J11B.5314.B.220.945 | VJMsg\J11B钢管\5314.B.035\035\410\220\J11B.5314.B.220.945"
"J11B.5314.B.220.947","9","1","YES","VJMsg\J11B.5314.B.220.947 | VJMsg\J11B钢管\5314.B.035\035\410\220\J11B.5314.B.220.947 | VJMsg\J11B钢管\5314.B.035\035\445\410\220\J11B.5314.B.220.947"
"J11B.5314.B.220.957","9","1","YES","VJMsg\J11B.5314.B.220.957 | VJMsg\J11B钢管\5314.B.035\035\410\220\J11B.5314.B.220.957 | VJMsg\J11B钢管\5314.B.035\035\445\410\220\J11B.5314.B.220.957"
"J11B.5314.B.220.956","9","1","YES","VJMsg\J11B.5314.B.220.956 | VJMsg\J11B钢管\5314.B.035\035\410\220\J11B.5314.B.220.956 | VJMsg\J11B钢管\5314.B.035\035\445\410\220\J11B.5314.B.220.956"
"J11B.5314.B.220.955","9","1","YES","VJMsg\J11B.5314.B.220.955 | VJMsg\J11B钢管\5314.B.035\035\410\220\J11B.5314.B.220.955 | VJMsg\J11B钢管\5314.B.035\035\445\410\220\J11B.5314.B.220.955"
"J11B.5314.B.220.961","9","1","YES","VJMsg\J11B.5314.B.220.961 | VJMsg\J11B钢管\5314.B.035\035\220\J11B.5314.B.220.961 | VJMsg\J11B钢管\5314.B.035\035\410\220\J11B.5314.B.220.961"
"J11B.5314.B.220.958","9","1","YES","VJMsg\J11B.5314.B.220.958 | VJMsg\J11B钢管\5314.B.035\035\410\220\J11B.5314.B.220.958 | VJMsg\J11B钢管\5314.B.035\035\445\410\220\J11B.5314.B.220.958"
"921","9","5","NO","VJMsg\30 11\30 11.5314\040\921 | VJMsg\30 11\30 11.5324\700\921 | VJMsg\30 11\30 11.5324\815\921"
"J11B.5314.B.220.941","9","1","YES","VJMsg\J11B.5314.B.220.941 | VJMsg\J11B钢管\5314.B.035\035\410\220\J11B.5314.B.220.941 | VJMsg\J11B钢管\5314.B.035\035\445\410\220\J11B.5314.B.220.941"
"J11B.5314.B.220.942","9","1","YES","VJMsg\J11B.5314.B.220.942 | VJMsg\J11B钢管\5314.B.035\035\410\220\J11B.5314.B.220.942 | VJMsg\J11B钢管\5314.B.035\035\445\410\220\J11B.5314.B.220.942"
"J11B.5314.B.220.903","9","1","YES","VJMsg\J11B.5314.B.220.903 | VJMsg\J11B钢管\5314.B.035\035\220\J11B.5314.B.220.903 | VJMsg\J11B钢管\5314.B.035\035\410\220\J11B.5314.B.220.903"
"J11B.5314.B.220.944","9","1","YES","VJMsg\J11B.5314.B.220.944 | VJMsg\J11B钢管\5314.B.035\035\410\220\J11B.5314.B.220.944 | VJMsg\J11B钢管\5314.B.035\035\445\410\220\J11B.5314.B.220.944"
"J11B.5314.B.220.943","9","1","YES","VJMsg\J11B.5314.B.220.943 | VJMsg\J11B钢管\5314.B.035\035\410\220\J11B.5314.B.220.943 | VJMsg\J11B钢管\5314.B.035\035\445\410\220\J11B.5314.B.220.943"
"J11B.5314.B.220.976","9","1","YES","VJMsg\J11B.5314.B.220.976 | VJMsg\J11B钢管\5314.B.035\035\410\220\J11B.5314.B.220.976 | VJMsg\J11B钢管\5314.B.035\035\445\410\220\J11B.5314.B.220.976"
"J11B.5314.B.220.975","9","2","NO","VJMsg\J11B.5314.B.220.975 | VJMsg\J11B钢管\5314.B.035\035\410\220\J11B.5314.B.220.975 | VJMsg\J11B钢管\5314.B.035\035\445\410\220\J11B.5314.B.220.975"
"93","9","5","NO","J11B直管\J11BS.0740.A\93 | VJMsg\30 11\30 11.5314\815\93 | VJMsg\J11BS.7420.A\J11BS.0740.A\93"
"915","9","7","NO","VJMsg\30 11\30 11.5314\700\915 | VJMsg\30 11\30 11.5314\900\915 | VJMsg\30 11\30 11.5324\500\915"
"J11B.5314.B.220.925","9","1","YES","VJMsg\J11B.5314.B.220.925 | VJMsg\J11B钢管\5314.B.035\035\410\220\J11B.5314.B.220.925 | VJMsg\J11B钢管\5314.B.035\035\445\410\220\J11B.5314.B.220.925"
"87","9","6","NO","J11B直管\J11BS.0740.A\87 | VJMsg\30 11\30 11.5314\045\87 | VJMsg\30 11\30 11.5314\210\87"
"J11B.5314.B.220.968","9","1","YES","VJMsg\J11B.5314.B.220.968 | VJMsg\J11B钢管\5314.B.035\035\410\220\J11B.5314.B.220.968 | VJMsg\J11B钢管\5314.B.035\035\445\410\220\J11B.5314.B.220.968"
"J11B.5314.B.220.966","9","1","YES","VJMsg\J11B.5314.B.220.966 | VJMsg\J11B钢管\5314.B.035\035\410\220\J11B.5314.B.220.966 | VJMsg\J11B钢管\5314.B.035\035\445\410\220\J11B.5314.B.220.966"
"J11B.5314.B.220.969","9","1","YES","VJMsg\J11B.5314.B.220.969 | VJMsg\J11B钢管\5314.B.035\035\410\220\J11B.5314.B.220.969 | VJMsg\J11B钢管\5314.B.035\035\445\410\220\J11B.5314.B.220.969"
"J11B.5314.B.220.972","9","1","YES","VJMsg\J11B.5314.B.220.972 | VJMsg\J11B钢管\5314.B.035\035\410\220\J11B.5314.B.220.972 | VJMsg\J11B钢管\5314.B.035\035\445\410\220\J11B.5314.B.220.972"
"J11B.5314.B.220.909","9","1","YES","VJMsg\J11B.5314.B.220.909 | VJMsg\J11B钢管\5314.B.035\035\410\220\J11B.5314.B.220.909 | VJMsg\J11B钢管\5314.B.035\035\445\410\220\J11B.5314.B.220.909"
"J11B.5314.B.220.918","9","1","YES","VJMsg\J11B.5314.B.220.918 | VJMsg\J11B钢管\5314.B.035\035\410\220\J11B.5314.B.220.918 | VJMsg\J11B钢管\5314.B.035\035\445\410\220\J11B.5314.B.220.918"
"J11B.5314.B.220.921","9","1","YES","VJMsg\J11B.5314.B.220.921 | VJMsg\J11B钢管\5314.B.035\035\410\220\J11B.5314.B.220.921 | VJMsg\J11B钢管\5314.B.035\035\445\410\220\J11B.5314.B.220.921"
"J11B.5314.B.220.924","9","1","YES","VJMsg\J11B.5314.B.220.924 | VJMsg\J11B钢管\5314.B.035\035\410\220\J11B.5314.B.220.924 | VJMsg\J11B钢管\5314.B.035\035\445\410\220\J11B.5314.B.220.924"
"J11B.5314.B.220.920","9","1","YES","VJMsg\J11B.5314.B.220.920 | VJMsg\J11B钢管\5314.B.035\035\410\220\J11B.5314.B.220.920 | VJMsg\J11B钢管\5314.B.035\035\445\410\220\J11B.5314.B.220.920"
"970","9","3","NO","VJMsg\30 11\30 11.5324\900\970 | VJMsg\J11B钢管\5314.B.035\035\815\970 | VJMsg\J11B钢管\5314.B.035\035\905\970"
"J11B.5314.B.220.926","9","1","YES","VJMsg\J11B.5314.B.220.926 | VJMsg\J11B钢管\5314.B.035\035\410\220\J11B.5314.B.220.926 | VJMsg\J11B钢管\5314.B.035\035\445\410\220\J11B.5314.B.220.926"
"J11B.5314.B.220.915","9","2","NO","VJMsg\J11B.5314.B.220.915 | VJMsg\J11B钢管\5314.B.035\035\410\220\J11B.5314.B.220.915 | VJMsg\J11B钢管\5314.B.035\035\445\410\220\J11B.5314.B.220.915"
"J11B.5314.B.220.911","9","1","YES","VJMsg\J11B.5314.B.220.911 | VJMsg\J11B钢管\5314.B.035\035\410\220\J11B.5314.B.220.911 | VJMsg\J11B钢管\5314.B.035\035\445\410\220\J11B.5314.B.220.911"
"J11B.5314.B.220.912","9","1","YES","VJMsg\J11B.5314.B.220.912 | VJMsg\J11B钢管\5314.B.035\035\410\220\J11B.5314.B.220.912 | VJMsg\J11B钢管\5314.B.035\035\445\410\220\J11B.5314.B.220.912"
"220.965","8","1","YES","VJMsg\J11B钢管\5314.B.035\035\220\220.965 | VJMsg\J11B钢管\5314.B.035\035\410\220\220.965 | VJMsg\J11B钢管\5314.B.035\035\445\410\220\220.965"
"J11B.5314.B.410.950","8","1","YES","VJMsg\J11B.5314.B.410.950 | VJMsg\J11B钢管\5314.B.035\035\445\410\J11B.5314.B.410.950 | VJMsg\J11B钢管\5314.B.035\035\零\J11B.5314.B.410.950"
"922","8","4","NO","VJMsg\30 11\30 11.5314\900\922 | VJMsg\30 11\30 11.5324\815\922 | VJMsg\J11B钢管\5314.B.035\035\820\922"
"J11B.5314.B.410.955","8","1","YES","VJMsg\J11B.5314.B.410.955 | VJMsg\J11B钢管\5314.B.035\035\445\410\J11B.5314.B.410.955 | VJMsg\J11B钢管\5314.B.035\035\五\J11B.5314.B.410.955"
