"sha256","dup_count","action","keep_path","keep_rel_path","file_path","rel_path","top_dir","file_name","size","keep_score","reason_flags"
"CF919FF8015E095FBE7EB4F1C502B8A48FD68AD4BEDEDC7FD1D1D2EE6E790BF7","4","ARCHIVE_DUP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\3011.5314.K.815.911","VJMsg\3011.5314.K.815.911","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11\30 11.5314\815\11","VJMsg\30 11\30 11.5314\815\11","VJMsg","11","9045","279","numeric_name|short_name"
"CA00D8DCB07AD9B9E1EAAF923E95A1650DF0BAE9E863189C82ACC0EB6498952D","3","KEEP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.815.912","VJMsg\30 11.5314.K.815.912","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.815.912","VJMsg\30 11.5314.K.815.912","VJMsg","30 11.5314.K.815.912","9045","26",""
"CA00D8DCB07AD9B9E1EAAF923E95A1650DF0BAE9E863189C82ACC0EB6498952D","3","ARCHIVE_DUP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.815.912","VJMsg\30 11.5314.K.815.912","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11\30 11.5314\815\LV\30 11.5314.K.815.912","VJMsg\30 11\30 11.5314\815\LV\30 11.5314.K.815.912","VJMsg","30 11.5314.K.815.912","9045","50",""
"CA00D8DCB07AD9B9E1EAAF923E95A1650DF0BAE9E863189C82ACC0EB6498952D","3","ARCHIVE_DUP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.815.912","VJMsg\30 11.5314.K.815.912","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11\30 11.5314\815\912","VJMsg\30 11\30 11.5314\815\912","VJMsg","912","9045","280","numeric_name|short_name"
"C06E88E2C88A0B728DE0591DBCE45B40B451538AF79AEA3DF238447E65E145A9","3","KEEP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.815.919","VJMsg\30 11.5314.K.815.919","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.815.919","VJMsg\30 11.5314.K.815.919","VJMsg","30 11.5314.K.815.919","9045","26",""
"C06E88E2C88A0B728DE0591DBCE45B40B451538AF79AEA3DF238447E65E145A9","3","ARCHIVE_DUP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.815.919","VJMsg\30 11.5314.K.815.919","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11\30 11.5314\815\30 11.5314.K.815.919","VJMsg\30 11\30 11.5314\815\30 11.5314.K.815.919","VJMsg","30 11.5314.K.815.919","9045","47",""
"C06E88E2C88A0B728DE0591DBCE45B40B451538AF79AEA3DF238447E65E145A9","3","ARCHIVE_DUP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.815.919","VJMsg\30 11.5314.K.815.919","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11\30 11.5314\815\19","VJMsg\30 11\30 11.5314\815\19","VJMsg","19","9045","279","numeric_name|short_name"
"15C7720251F42D9F92CEED7DA37354B1B1282E1088EABC0293382BC379418FF9","3","KEEP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.815.935","VJMsg\30 11.5314.K.815.935","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.815.935","VJMsg\30 11.5314.K.815.935","VJMsg","30 11.5314.K.815.935","9045","26",""
"15C7720251F42D9F92CEED7DA37354B1B1282E1088EABC0293382BC379418FF9","3","ARCHIVE_DUP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.815.935","VJMsg\30 11.5314.K.815.935","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11\30 11.5314\815\30 11.5314.K.815.935","VJMsg\30 11\30 11.5314\815\30 11.5314.K.815.935","VJMsg","30 11.5314.K.815.935","9045","47",""
"15C7720251F42D9F92CEED7DA37354B1B1282E1088EABC0293382BC379418FF9","3","ARCHIVE_DUP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.815.935","VJMsg\30 11.5314.K.815.935","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11\30 11.5314\815\35","VJMsg\30 11\30 11.5314\815\35","VJMsg","35","9045","279","numeric_name|short_name"
"9F9CF9B5FC302A7806BC3EEA5AA00BF4895C6CAEE35E59DED151A0E63C183B9E","3","KEEP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.815.937","VJMsg\30 11.5314.K.815.937","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.815.937","VJMsg\30 11.5314.K.815.937","VJMsg","30 11.5314.K.815.937","9045","26",""
"9F9CF9B5FC302A7806BC3EEA5AA00BF4895C6CAEE35E59DED151A0E63C183B9E","3","ARCHIVE_DUP","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11.5314.K.815.937","VJMsg\30 11.5314.K.815.937","D:\TGY\vibecoding\delivery_offline\打码机管子汇总\VJMsg\30 11\30 11.5314\815\30 11.5314.K.815.937","VJMsg\30 11\30 11.5314\815\30 11.5314.K.815.937","VJMsg","30 11.5314.K.815.937","9045","47",""
